#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                           68                0
   8 ADD                         7485                0
  11 ADDSD                          9                0
  12 ADDSS                          9                0
  15 ADD_LOCK                      14                0
  31 AND                         5245                0
  33 ANDNPD                         1                0
  34 ANDNPS                         1                0
  35 ANDPD                         10                0
  36 ANDPS                          3                0
  37 AND_LOCK                      10                0
  63 BSF                          146                0
  64 BSR                           41                0
  65 BSWAP                         39                0
  66 BT                            81                0
  67 BTC                            5                0
  69 BTR                           13                0
  71 BTS                           27                0
  73 BZHI                          14                0
  75 CALL_NEAR                  10357                0
  77 CDQ                           11                0
  78 CDQE                         282                0
  81 CLD                            2                0
  92 CMC                            1                0
 109 CMP                        14137                0
 114 CMPSD_XMM                      1                0
 123 CMPXCHG_LOCK                 326                0
 124 COMISD                        11                0
 125 COMISS                        16                0
 127 CQO                            2                0
 140 CVTSD2SS                       1                0
 141 CVTSI2SD                      14                0
 142 CVTSI2SS                      13                0
 143 CVTSS2SD                       2                0
 150 CVTTSS2SI                      7                0
 152 CWDE                           1                0
 155 DEC                           10                0
 156 DEC_LOCK                       2                0
 157 DIV                           72                0
 160 DIVSD                          4                0
 161 DIVSS                          5                0
 166 ENCLU                          1                0
 178 FABS                           7                0
 179 FADD                          10                0
 183 FCHS                           4                0
 193 FCOMI                         13                0
 194 FCOMIP                         5                0
 200 FDIV                           1                0
 201 FDIVP                          5                0
 203 FDIVRP                         1                0
 213 FILD                          13                0
 217 FISTP                          6                0
 221 FLD                           81                0
 222 FLD1                           3                0
 223 FLDCW                         12                0
 224 FLDENV                         6                0
 230 FLDZ                           6                0
 231 FMUL                          10                0
 232 FMULP                          4                0
 237 FNSTCW                         8                0
 238 FNSTENV                        5                0
 239 FNSTSW                         5                0
 252 FSTP                         110                0
 255 FSUBP                          1                0
 256 FSUBR                          3                0
 257 FSUBRP                         2                0
 260 FUCOMI                         6                0
 261 FUCOMIP                       10                0
 264 FWAIT                          3                0
 265 FXAM                           5                0
 266 FXCH                          37                0
 280 HLT                            6                0
 284 IDIV                          12                0
 285 IMUL                         255                0
 287 INC                           60                0
 289 INCSSPQ                        3                0
 290 INC_LOCK                       5                0
 298 INT3                          13                0
 310 JB                           626                0
 311 JBE                         1601                0
 314 JL                           153                0
 315 JLE                          566                0
 316 JMP                        11373                0
 318 JNB                          982                0
 319 JNBE                        1791                0
 320 JNL                           54                0
 321 JNLE                         615                0
 322 JNO                            1                0
 324 JNS                          204                0
 325 JNZ                         8687                0
 326 JO                             8                0
 327 JP                            15                0
 329 JS                           597                0
 330 JZ                         11305                0
 343 KMOVB                          2                0
 344 KMOVD                        464                0
 345 KMOVQ                          2                0
 352 KORD                           4                0
 355 KORTESTD                      14                0
 368 KTESTD                         2                0
 371 KUNPCKBW                       2                0
 372 KUNPCKDQ                       2                0
 385 LDMXCSR                        2                0
 388 LEA                        11843                0
 389 LEAVE                          2                0
 391 LFENCE                         4                0
 407 LSL                            1                0
 427 MOV                        68731                0
 428 MOVAPD                        21                0
 429 MOVAPS                       773                0
 431 MOVD                         113                0
 436 MOVDQA                       312                0
 437 MOVDQU                       414                0
 438 MOVHLPS                        4                0
 440 MOVHPS                        25                0
 444 MOVMSKPD                       4                0
 445 MOVMSKPS                       3                0
 446 MOVNTDQ                       24                0
 454 MOVQ                         354                0
 458 MOVSD_XMM                     54                0
 462 MOVSS                         21                0
 464 MOVSX                        475                0
